Word,Count
Million Dollar Baby,1
99378637,1
139067994.655617,1
252,2
1566403106,1
239145382,1
2145134077,1
The Departed,1
120359613,1
164828265.694739,1
60,2
249,2
1293722940,1
178970159,1
1605362326,1
American Gangster,1
129150735,1
160261303.200057,1
256,2
1089416918,1
137297291,1
1231556700,1
Twilight,1
176922850,1
200006551.854003,1
62,2
196,2
1834368065,1
219737067,1
1971041491,1
The Twilight Saga: New Moon,1
287954655,1
309409318.315619,1
63,2
208,2
1688220533,1
195679977,1
1755249394,1
The Twilight Saga: Eclipse,1
300531751,1
312464019.664017,1
64,3
244,2
1490251352,1
183601071,1
1646901607,1
The Twilight Saga: Breaking Dawn,2
Part 1,1
275530738,1
304493610.813443,1
65,1
1670673352,1
209883469,1
1882654717,1
Part 2,1
289133356,1
325819691.721186,1
66,1
231,2
1338302458,1
164612723,1
1476576125,1
The Great Gatsby,1
144840419,1
159805358.90968,1
254,2
1648533596,1
201778765,1
1809955522,1
The Fault in Our Stars,1
124872350,1
137099662.376318,1
68,1
287,2
2070185234,1
240584394,1
2158042014,1
American Sniper,1
347897084,1
362661520.085061,1
69,3
282,2
1360947564,1
156363340,1
1402579160,1
Sully,1
124976335,1
128799380.373613,1
70,2
253,2
1326577328,1
147890338,1
1326576332,1
Hidden Figures,1
167620331,1
167620205.14993,1
71,1
1631625937,1
181897975,1
1631624836,1
A Star is Born,1
202110097,1
202109960.61873,1
72,3
Comedy,24
1048895722,1
241125423,1
2162895044,1
Ace Ventura: When Nature Calls,1
104371496,1
215221195.680752,1
73,1
1041177912,1
235560580,1
2112978403,1
The Nutty Professor,1
128814019,1
261416648.407186,1
74,4
1296925200,1
282554475,1
2534513641,1
Liar Liar,1
181410615,1
354521354.307634,1
75,1
791406180,1
168743282,1
1513627240,1
The Waterboy,1
150042308,1
286967843.164012,1
76,1
1352538228,1
266247647,1
2388241394,1
Austin Powers: The Spy Who Shagged Me,1
206040085,1
363814825.809329,1
77,2
79,2
1482623604,1
275069272,1
2467371370,1
Meet the Parents,1
161325490,1
268476701.843485,1
78,1
88,2
1477683205,1
261074728,1
2341840310,1
American Pie 2,1
145096820,1
229950222.60459,1
82,3
1305574866,1
224711640,1
2015663411,1
Austin Powers in Goldmember,1
213117789,1
329030330.39893,1
80,1
1802604618,1
298939369,1
2681486140,1
Bruce Almighty,1
242704995,1
361038729.016098,1
81,1
120,2
1674423943,1
269633428,1
2418611849,1
Meet the Fockers,1
162461370,1
234666373.548609,1
1825866367,1
284846481,1
2555072935,1
Wedding Crashers,1
209218368,1
292775089.811198,1
83,1
125,3
1954939739,1
298464018,1
2677222241,1
Talladega Nights: The Ballad of Ricky Bobby,1
148213377,1
202973084.746382,1
84,1
134,2
1428122669,1
203009299,1
1820993412,1
Wild Hogs,1
168213584,1
214488457.414794,1
85,1
2099450726,1
249134624,1
2234737577,1
Sex and the City,1
152647258,1
162483719.791104,1
86,1
87,2
1435281074,1
173140695,1
1553072034,1
The Hangover,1
277322503,1
300081866.618539,1
1376066203,1
155529369,1
1395098440,1
Grown Ups,1
162001186,1
164241808.551089,1
96,2
1491182522,1
171940533,1
1542306581,1
The Hangover Part II,1
254464305,1
263188420.224182,1
89,2
94,2
1050654625,1
131991738,1
1183965890,1
21 Jump Street,1
138447667,1
156014461.248937,1
90,1
98,3
1619719448,1
199227435,1
1787070092,1
The Heat,1
159581587,1
176069677.815955,1
91,1
102,2
1270249093,1
155477200,1
1394630484,1
22 Jump Street,1
191719337,1
210492283.148176,1
92,1
1293229974,1
148452655,1
1331620315,1
Pitch Perfect 2,1
184296230,1
189767178.908515,1
93,2
1409767232,1
161840867,1
1451712577,1
Ghostbusters,1
128350574,1
132169437.841615,1
784372296,1
87443925,1
784372007,1
Girls Trip,1
115108515,1
115108472.588557,1
95,1
865423455,1
96479734,1
865423214,1
Night School,1
77339130,1
77339108.4628782,1
Thriller or Suspense,24
329923961,1
75844582,1
680325901,1
